FileName,Class
1-E1-Major 00.wav,Sound_Guitar
1-E1-Major 01.wav,Sound_Guitar
1-E1-Major 02.wav,Sound_Guitar
1-E1-Major 03.wav,Sound_Guitar
1-E1-Major 04.wav,Sound_Guitar
1-E1-Major 05.wav,Sound_Guitar
1-E1-Major 06.wav,Sound_Guitar
1-E1-Major 07.wav,Sound_Guitar
1-E1-Major 08.wav,Sound_Guitar
1-E1-Major 09.wav,Sound_Guitar
1-E1-Major 10.wav,Sound_Guitar
2-E1-Minor 00.wav,Sound_Guitar
2-E1-Minor 01.wav,Sound_Guitar
2-E1-Minor 02.wav,Sound_Guitar
2-E1-Minor 03.wav,Sound_Guitar
2-E1-Minor 04.wav,Sound_Guitar
2-E1-Minor 05.wav,Sound_Guitar
2-E1-Minor 06.wav,Sound_Guitar
2-E1-Minor 07.wav,Sound_Guitar
2-E1-Minor 08.wav,Sound_Guitar
AR_A_fret_0-20.wav,Sound_Guitar
AR_A_muted5.wav,Sound_Guitar
AR_B_fret_0-20.wav,Sound_Guitar
AR_B_muted5.wav,Sound_Guitar
AR_DN_III_VIII_XIV.wav,Sound_Guitar
AR_D_fret_0-20.wav,Sound_Guitar
AR_D_muted5.wav,Sound_Guitar
AR_E1_fret_0-20.wav,Sound_Guitar
AR_E1_muted5.wav,Sound_Guitar
AR_E_fret_0-20.wav,Sound_Guitar
AR_E_muted5.wav,Sound_Guitar
AR_G_fret_0-20.wav,Sound_Guitar
AR_G_muted5.wav,Sound_Guitar
AR_G_V_bending.wav,Sound_Guitar
AR_G_V_slide.wav,Sound_Guitar
AR_Lick10_FN.wav,Sound_Guitar
AR_Lick10_KN.wav,Sound_Guitar
AR_Lick10_MN.wav,Sound_Guitar
AR_Lick11_FN.wav,Sound_Guitar
AR_Lick11_KN.wav,Sound_Guitar
AR_Lick11_MN.wav,Sound_Guitar
AR_Lick12_FN.wav,Sound_Guitar
AR_Lick12_KN.wav,Sound_Guitar
AR_Lick12_MN.wav,Sound_Guitar
AR_Lick1_FN.wav,Sound_Guitar
AR_Lick1_FN_Lage.wav,Sound_Guitar
AR_Lick1_FVSDN.wav,Sound_Guitar
AR_Lick1_KN.wav,Sound_Guitar
AR_Lick1_KVSDN.wav,Sound_Guitar
AR_Lick1_MN.wav,Sound_Guitar
AR_Lick1_MVSDN.wav,Sound_Guitar
AR_Lick2_FN.wav,Sound_Guitar
AR_Lick2_FVSH.wav,Sound_Guitar
AR_Lick2_KN.wav,Sound_Guitar
AR_Lick2_KN_Lage.wav,Sound_Guitar
AR_Lick2_KVSH.wav,Sound_Guitar
AR_Lick2_MN.wav,Sound_Guitar
AR_Lick2_MVSH.wav,Sound_Guitar
AR_Lick3_FN.wav,Sound_Guitar
